"Y","Z","X0","ltps1","S_1","S_2","S_3","S_4","S_5","S_6","S_7","S_8","S_9","S_10","S_11","S_12","S_13","S_14","S_15"
2.87666103210774,1,1,-0.182695717953007,0.851066980534209,0.571671905643446,0.425107258570132,0.237896314795911,0.109649440183319,0.000265587096624026,0,0,0,0,0,0,0,0,0
1.88240195358022,1,1,1.57716768486065,2.61093038334786,2.3315353084571,2.18497066138378,1.99775971760956,1.86951284299697,1.76012898991028,1.39361067315116,1.23844845426493,1.0801869471206,0.943624649873761,0.853515428200285,0.659777304267306,0.370961574671849,0,0
6.82790385367736,1,1,0.160365141853457,1.19412784034067,0.914732765449911,0.768168118376596,0.580957174602375,0.452710299989784,0.343326446903088,0,0,0,0,0,0,0,0,0
0.597601668844522,1,1,0.784303674362937,1.81806637285015,1.53867129795939,1.39210665088608,1.20489570711185,1.07664883249926,0.967264979412568,0.600746662653456,0.445584443767222,0.287322936622893,0.150760639376053,0.0606514177025764,0,0,0,0
3.59680686176798,1,1,1.1841642163062,2.21792691479342,1.93853183990266,1.79196719282934,1.60475624905512,1.47650937444253,1.36712552135583,1.00060720459672,0.845444985710488,0.687183478566159,0.550621181319318,0.460511959645842,0.266773835712862,0,0,0
5.48102140143089,1,1,-0.405343212096523,0.628419486390693,0.349024411499931,0.202459764426616,0.015248820652395,0,0,0,0,0,0,0,0,0,0,0
-1.27477308814923,1,1,0.481615846311992,1.51537854479921,1.23598346990845,1.08941882283513,0.902207879060909,0.773961004448318,0.664577151361623,0.298058834602511,0.142896615716277,0,0,0,0,0,0,0
3.83416176661328,1,1,0.630323500690923,1.66408619917814,1.38469112428738,1.23812647721406,1.05091553343984,0.92266865882725,0.813284805740554,0.446766488981442,0.291604270095209,0.13334276295088,0,0,0,0,0,0
1.30645678591223,1,1,3.22153523184927,4.25529793033648,3.97590285544572,3.82933820837241,3.64212726459819,3.5138803899856,3.4044965368989,3.03797822013979,2.88281600125355,2.72455449410923,2.58799219686238,2.49788297518891,2.30414485125593,2.01532912166047,1.63574984667443,1.07722083260062
4.7616001576249,1,1,-0.466338494706103,0.567424203781113,0.288029128890351,0.141464481817036,0,0,0,0,0,0,0,0,0,0,0,0
5.0976239045582,1,1,-0.715576990163351,0.318185708323865,0.0387906334331025,0,0,0,0,0,0,0,0,0,0,0,0,0
4.65001823430837,1,1,-0.745348223547907,0.288414474939309,0.00901940004854695,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16327035340865,1,1,-0.582932050298474,0.450830648188741,0.171435573297979,0.0248709262246644,0,0,0,0,0,0,0,0,0,0,0,0
3.93306788114431,1,1,0.21240554205774,1.24616824054496,0.966773165654193,0.820208518580879,0.632997574806658,0.504750700194067,0.395366847107371,0.0288485303482591,0,0,0,0,0,0,0,0
2.12147028209563,1,1,-1.02190185010276,0.011860848384452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.92377014325133,1,1,-1.28753257629126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4989257415315,1,1,2.98017325584649,4.01393595433371,3.73454087944294,3.58797623236963,3.40076528859541,3.27251841398282,3.16313456089612,2.79661624413701,2.64145402525078,2.48319251810645,2.34663022085961,2.25652099918613,2.06278287525315,1.77396714565769,1.39438787067165,0.835858856597844
7.94250336334218,1,1,0.942441007170972,1.97620370565819,1.69680863076743,1.55024398369411,1.36303303991989,1.2347861653073,1.1254023122206,0.758883995461491,0.603721776575258,0.445460269430929,0.308897972184088,0.218788750510612,0.0250506265776325,0,0,0
1.22085089752215,1,1,-0.291109980434269,0.742652718052946,0.463257643162184,0.316692996088869,0.129482052314648,0.00123517770205733,0,0,0,0,0,0,0,0,0,0
2.69859357541694,1,1,0.709231670578526,1.74299436906574,1.46359929417498,1.31703464710167,1.12982370332744,1.00157682871485,0.892192975628158,0.525674658869046,0.370512439982812,0.212250932838483,0.0756886355916426,0,0,0,0,0
3.14706757807811,1,1,1.51494053416129,2.54870323264851,2.26930815775775,2.12274351068443,1.93553256691021,1.80728569229762,1.69790183921092,1.33138352245181,1.17622130356558,1.01795979642125,0.881397499174408,0.791288277500932,0.597550153567952,0.308734423972496,0,0
